name,name_en,amenity,building,healthcare,healthca_1,operator_t,capacity_p,addr_full,addr_city,source,name_ro,osm_id,osm_type,longitude,latitude
Farmacie,,pharmacy,,,,,,,,,,2311701806,nodes,24.635902,46.7614712
Nidofarm,,pharmacy,,pharmacy,,,,,,,,6305642103,nodes,23.0685261,43.9183974
Top Med Buna Vestire,,clinic,,clinic,,,,,Calafat,,,4566566070,nodes,22.9332015,43.9970619
Farmacie Veterinara,,pharmacy,,pharmacy,,,,,Podu Turcului,,,5931550723,nodes,27.3857484,46.2043957
Dona,,pharmacy,,,,,,,,,,4309185782,nodes,25.7967487,46.3618156
antares clinic,,,,laboratory,,,,,,,,10004410381,nodes,26.7674154,46.2450089
Tiliae Pharma,,pharmacy,,pharmacy,,,,,Podu Turcului,,,5927906473,nodes,27.3852275,46.2028856
Ropharma,,pharmacy,,pharmacy,,,,,Podu Turcului,,,5915091658,nodes,27.3856987,46.2012338
Microfarm,,pharmacy,,pharmacy,,,,,Podu Turcului,,,5880301586,nodes,27.3857898,46.2038104
Farmacia Eucalipt,,pharmacy,,,,,,,,,,4209129889,nodes,21.9534217,47.0645726
,,doctors,,doctor,,,,,,,,9943173919,nodes,21.9403182,47.0583577
Euroclinic,,dentist,,dentist,,,,,,,,9943171318,nodes,21.9396237,47.0597521
Farmacia Vitalogy,,pharmacy,,pharmacy,,,,,,,,10216055086,nodes,21.9398099,47.0592271
Farmacia Dona,,pharmacy,,pharmacy,,,,,,,,6660997054,nodes,21.9380961,47.061468
Fastpharm,,pharmacy,,pharmacy,,,,,Bucuresti,MS,,2637637344,nodes,26.1379698,44.3819032
Regina Maria,,doctors,,doctor,,,,,Bucuresti,,,937640311,nodes,26.0740003,44.4826242
,,pharmacy,,,,,,,,,,9943441644,nodes,21.9317373,47.0536638
Delia,,pharmacy,,pharmacy,,,,,,,,4827011351,nodes,21.9276467,47.0545787
Farmacia Remedia,,pharmacy,,,,,,,,,,1459562052,nodes,22.7873697,45.7113969
Top Pharma,,pharmacy,,,,,,,,,,498265720,nodes,22.9017895,45.7606426
Remedia Corvinul,,pharmacy,,,,,,,,,,486328390,nodes,22.9015598,45.756838
Lu-Ka,,pharmacy,,pharmacy,,,,,Hunedoara,,,486300552,nodes,22.9025835,45.7510316
2 M Farm,,pharmacy,,,,,,,,,,6579666188,nodes,26.766091,46.24031
Fitofarmacia Elviafcom,,pharmacy,,pharmacy,,,,,Podu Turcului,,,5915091661,nodes,27.3857706,46.2044099
Catena,,pharmacy,,pharmacy,,,,,Miercurea Ciuc,,,4309206894,nodes,25.7982066,46.3614614
Richter,,pharmacy,,pharmacy,,,,,,,,5118925964,nodes,25.8004474,46.361236
,,doctors,,,,,,,,,,9945497409,nodes,21.9362826,47.0547876
2na Farm,,pharmacy,,,,,,,,,,6579666191,nodes,26.097425,44.4264875
Cynara,,pharmacy,,pharmacy,,,,,Carei,,,1081234373,nodes,22.4588413,47.6799287
,,hospital,,hospital,,,,,Carei,,,1081234268,nodes,22.4634168,47.680698
Stomatologie,,dentist,,dentist,,,,,Cugir,,,10677687717,nodes,23.3597319,45.8444805
,,,,audiologist,,,,,,,,10000060585,nodes,26.0979626,44.427465
,,pharmacy,,pharmacy,,,,,Peris,,,10732016498,nodes,25.9996059,44.6779028
,,pharmacy,,pharmacy,,,,,Peris,,,10732043341,nodes,26.000346,44.6779561
Elit Medical,,clinic,,clinic,,,,,,survey,,4043412915,nodes,26.015841,44.9439534
Farmacia Agifarm,,pharmacy,,pharmacy,,,,,Bucuresti,MS,,2637716185,nodes,26.0925566,44.4527918
Belladonna 18,,pharmacy,,,,,,,Bucuresti,MS,,2637755365,nodes,26.0425766,44.4626017
Catena,,pharmacy,,pharmacy,,,,,Bucuresti,survey,,2719999906,nodes,26.0513954,44.4698319
Donna,,pharmacy,,pharmacy,,,,,,,,5183800880,nodes,26.0960211,44.421785
Geofarm,,pharmacy,,,,,,,,,,648542897,nodes,23.012174,45.8506525
Remedia Sfantul Andrei,,pharmacy,,,,,,,,,,565455304,nodes,23.0118209,45.8494313
Farmacia Cricopharm,Cricopharm Farmacy,pharmacy,,pharmacy,,,,,,,Farmacia Cricopharm,4708264390,nodes,21.9550494,47.0437558
,,pharmacy,,pharmacy,,,,,,,,9943184819,nodes,21.9357031,47.059281
Optiblu,,,,optometrist,,,,,,,,3180495988,nodes,21.9345276,47.0589013
